id,answer
5e7a923dd6e4ccb8730eb95230e0c908,1996年
a2e9cd802197b8f8dfbe235e2761f9ed,荷蘭叛亂的背景對於認識導致三十年戰爭
c7c8a85b3f0006d44d86510a22193620,1774年王倫叛亂中曾提及一個組織叫義和拳，1813年
7f4f68726faed6b987e348340a9e6a61,2007年
89908ef5182021a9aec1472c5bbcbd8c,2001年
14f4fbc7e40d017836f414e71acead71,劉備所建，他直到赤壁之戰
4911c04597a5e2d7eb539efa00c053f8,1937年
755ebc079613e214f1abd5d52a6e8d32,1949年
38e45c1c2c6e7a96080bd753c7fadb43,1989年
d52156507573c4742d4e75a887e5b5d7,378年
196459cd4f5ef8c3131171430d4eeaca,1984年
f5594e2e303b34fb1620da127d930d9c,「所有權」
a5ba4f33e0a83a9ecba9b0f3adfd7b14,1950年
63ea80494c552fecb4b54eb64f226686,1948年7月29日至1948年
ba806d826731e8dc38c8e8f1300b6726,劉備展開反攻。揚州
9fe42ca2d1efeaa8e1fd45120612cc8e,1997年
ddbea2ca7dda8989670a5ff773eb243a,2010年
d82f4c4513687055ce042071780452e4,隋唐時代
3d5d21134f95a76609c8441eb73813c4,馬炎稱帝
4c2f00fb03ad43b8209325c21201905a,2005年8月推出精選輯《知足just my pride最真傑作選》
39ab6557763c3f915179675dedf63b30,1927年
adb2675ed651e3f67ab671f82cc264fb,2013年
b8664bcbea5402f9fa5885b9ed231f12,美洲中南部，是北美最大的水系，流域面積約為300萬平方公里
e2d2afe821fc59ddc9227d64e35c7c32,1997年
e84fd3b41339ec4558004d66ebda27d0,徐州
f7dba33d747a99b0429e08b4c1ac3363,1991年
0ab024ea410b8dcf969f868e4c114fe7,1996年
37bc5ae3cd3acd6788727c388c397b1d,五個全責成員，除了土耳其、日本、韓國
d2a6608bafac0e882e002bdddc63db64,2009年開始規劃公車捷運系統，2013年
ad3029557fb36d544b35f1aec3fbc865,1945年
8d38d1718277da29fee660dcef42ac46,《中華人民共和國憲法》
09cb4edaa869505cd516d727ff4758fd,土耳其之間有外交上和對大屠殺事件承認問題上存在爭
6bdd2dc8bbbdca1034cba722ec182d98,艾塔斯卡湖至明尼阿波利斯、聖保羅為上游，長約1010公里
6694159995d0c7acf63cedb816d2beb6,維基媒體是一套基於網路
237fcd7ae827d78952c9e102123dbe62,小行星
8fba5163cafc7c9f7b3e772aff3658ea,2008年
fae75c17ca82f292c196294625258a80,1945年8月15日，日本昭和天皇錄音宣讀《終戰詔書》
0d092b332bd42301a0f90ae706e41e61,15年義
09d280b721aba108c5f23e2935da60b8,2008年
758c8ecbb9d846c0eea65f8e030e3b30,《經濟、社會、文化權利國際公約》
e88f40dbb7d96a7b1492faa139f131eb,1950年
7356186cc97b5886809ffee83ac04d93,三級管理，設有少年
a0adac4acd0a50397a77d9685351be81,100年左右，它擁有450000的人口。到早期中世紀
f24fa605a776040ace63cbe06fefaa7f,2010年
8b39ea7de68916747694ee8c067f9a18,1941年4月，《大公報》
fc4aa703132069af01b46b80b8926fae,1990年
e3c5c08f75ce0efae51b73cc3ddfb564,七年戰爭
8db285906d93a358467ec1e26f8dd294,2006年
162146ba9705943f9dbe2acc38df9a10,杜諾諾所建立，當時名為第二紀，以相對於現代的第三紀
d2b814fc7e42ff4a009d0bef2e45121e,文主義
d2760b53cfec7122f970d0da8892bdac,2005年
26b334f765f5cb024ca1f03f005626d5,2012年
05e399abc3e32f01bd2252365f9dcc96,蘇格蘭，有一些蘇格蘭國教會的教堂，在宗
cd8c0590f03f7d7c9e3cdcd8b8151167,16世紀
e0ea97598f9581af2545849e50be240a,1999年
6747fa16af9ecec16411f331f1ffacc2,1972年
bf978949444b59d48d1726cc0ee2c095,艾塔斯卡湖至明尼阿波利斯、聖保羅為上游，長約1010公里
91743312a7d0e6afa14d864c32225cd4,1997年
f3a151a19bd7ff605e0a78540a865b10,橫，湟水河
f8dc5b8e2ce2aad1c21615e6cb44669e,2016年
16224a4ba97c1131cd95fe492c3651d8,阿烏馬達，是16世紀
9b68f065c607b688fba428a02c4313c2,1991年
6daced661e57826af007d511eb0a26a3,1997年
44862cd9d221786088b015adfb122df2,荷兗日鐵路
4230c5ff12e4efaa24d309e8750ff077,《行政院功能業務與組織調整暫行條例》
35f95deac7a7ed5326c47bc498222e95,吳重臣陸凱
992806485ca338f51115364ffcd1c894,前所知有相當多關於世界遺產的爭
c1cb6699c12fa97d98d4b50acfe24078,1992年
3ae2000d7df822d5948453092763fc79,2002年
ba9cbdf1823c859bb1c7bb29ecb072d0,1936年
d248410b98dd74dd60eab5a65d47ab57,《中華人民共和國憲法》
fa47adfdcf01d2cfed5b5652b8ce72e5,《抗美援朝》
4dc403fead6031f91139aaa8f7f34536,2014年
7dd853027b5e38e65cd11d48020bd18d,鄧小平讓在國務院
4118829deb963df6a256958a92956116,阿拉伯國
0a8c59b26a6bca0f4135458db0147543,劉協為帝，即漢獻帝
4a047f7b90ba895a48492ecbd041e1f7,2010年
5ed4e9758e5709a5e38bd7a2c3812801,舊有的河道通航能力很小，元朝
